series_id,t,y
S0,0,20.688770656956468
S0,1,22.337077140608507
S0,2,22.39615922045164
S0,3,20.888250299185017
S0,4,24.066020305361462
S0,5,24.472886967275407
S0,6,25.39925477150256
S0,7,23.613035385287233
S0,8,26.41821715127743
S0,9,24.590273873529085
S0,10,25.948207250806234
S0,11,24.601932314556777
S0,12,24.123530456486822
S0,13,24.093679807658408
S0,14,23.14244022101474
S0,15,23.46699279899249
S0,16,22.701708010219296
S0,17,22.414445477454
S0,18,20.782865602463218
S0,19,20.16353590713144
S0,20,19.575082516174582
S0,21,20.293174097262828
S0,22,17.383856295433677
S0,23,17.539377083315312
S0,24,14.966368974562553
S0,25,15.35340774283166
S0,26,14.960157890426968
S0,27,15.082925656375519
S0,28,15.624039104536298
S0,29,15.656375445928429
S0,30,14.4699213163446
S0,31,16.514122088016244
S0,32,14.151678712357363
S0,33,15.45448879901761
S0,34,17.514908700864222
S0,35,17.15890724849348
S0,36,19.504308302452177
S0,37,21.35320503705987
S0,38,19.602872234407947
S0,39,20.77095851377123
S0,40,22.439721806692617
S0,41,21.81402837778518
S0,42,22.884714173442074
S0,43,24.00590465756417
S0,44,24.14209209027363
S0,45,24.674638133124766
S0,46,23.05661083548288
S0,47,24.925667402553035
S0,48,25.902351716322244
S0,49,24.48535659047705
S0,50,24.320931635432686
S0,51,25.132329225011354
S0,52,21.161297650739186
S0,53,22.279601943900413
S0,54,22.644313279825088
S0,55,21.604775389099757
S0,56,21.275113071141316
S0,57,18.565158776366633
S0,58,19.09748340949858
S0,59,17.77835025253395
S0,60,18.491083781526918
S0,61,15.659511486162701
S0,62,16.982255044408454
S0,63,15.091992367487798
S0,64,14.410707825964055
S0,65,15.814606276304056
S0,66,14.837175882081269
S0,67,15.12389354577921
S0,68,15.428809890836519
S0,69,14.811873906186676
S0,70,17.13031293219724
S0,71,17.826224252518468
S0,72,17.893554172210113
S0,73,18.558830757586076
S0,74,20.546095102274258
S0,75,17.971926833736042
S0,76,20.54901409245831
S0,77,20.195374002022852
S0,78,23.47365187985839
S0,79,24.408922155167847
S1,0,20.753967752183232
S1,1,21.037618040149567
S1,2,20.48577457225955
S1,3,23.021133196397695
S1,4,23.607780284613266
S1,5,23.576033552325146
S1,6,24.713702304441394
S1,7,23.628931045719632
S1,8,24.770284646319634
S1,9,24.76991831708376
S1,10,27.16980549094789
S1,11,24.994788885815275
S1,12,25.822419782641788
S1,13,23.309178874487497
S1,14,22.86422485619019
S1,15,24.335184899272605
S1,16,22.00125610341099
S1,17,22.23181957056259
S1,18,19.83201172901579
S1,19,19.193019322037333
S1,20,17.339118996061558
S1,21,18.255619168566742
S1,22,19.591615910028136
S1,23,17.89540977242732
S1,24,17.945325041402736
S1,25,16.591453290213792
S1,26,15.835119806343293
S1,27,13.933152837484977
S1,28,13.117063632466861
S1,29,15.220546463190523
S1,30,14.906750139522966
S1,31,15.386206818978629
S1,32,15.462966871144987
S1,33,16.51890348047943
S1,34,17.857971982806472
S1,35,18.231940209622667
S1,36,19.851800687173515
S1,37,20.386583749363787
S1,38,20.138652137858184
S1,39,21.73664326357197
S1,40,21.8017669888302
S1,41,23.73906383838503
S1,42,23.927269345075004
S1,43,23.758187143673247
S1,44,25.090943618931902
S1,45,24.148660733341455
S1,46,26.93367715688368
S1,47,25.9713928312169
S1,48,23.743767749607017
S1,49,25.947210281003436
S1,50,25.23941671481488
S1,51,24.77505261171819
S1,52,22.42502356127655
S1,53,23.421157825869503
S1,54,21.153325253079156
S1,55,22.192095408308656
S1,56,22.107914149589643
S1,57,19.12670055648985
S1,58,21.312805489864537
S1,59,17.975775971663513
S1,60,15.903993115620617
S1,61,17.080214337723298
S1,62,16.72703678697244
S1,63,15.3137759054251
S1,64,15.239904397441242
S1,65,15.54349574826538
S1,66,12.467799306711004
S1,67,15.612535327120257
S1,68,14.74779997782247
S1,69,17.159838465067494
S1,70,15.599075468460784
S1,71,17.413293790372624
S1,72,16.401425869574965
S1,73,18.46084564350594
S1,74,19.266558477450864
S1,75,18.089012942067775
S1,76,19.817982071942666
S1,77,21.017528253037057
S1,78,22.21771005275222
S1,79,23.495018721434143
S2,0,20.077982786154454
S2,1,22.85420668506386
S2,2,19.98377943827288
S2,3,22.67074564790535
S2,4,23.420958770645235
S2,5,21.810062257481817
S2,6,24.79793225948136
S2,7,23.716014315761633
S2,8,24.20832244251334
S2,9,24.647511820709152
S2,10,23.239632362797682
S2,11,24.741085346916343
S2,12,23.187032322252268
S2,13,23.219000550659413
S2,14,24.294317503498647
S2,15,24.646966233606125
S2,16,21.629139421949695
S2,17,21.689809836737304
S2,18,22.032655369369838
S2,19,18.8855968583009
S2,20,18.23522894420723
S2,21,18.532888540979247
S2,22,17.463523863463923
S2,23,15.800027032817969
S2,24,14.376580479670785
S2,25,15.584012456993667
S2,26,15.802974391785007
S2,27,15.18203299604862
S2,28,15.576164565771878
S2,29,14.116253806795372
S2,30,15.926021575468745
S2,31,14.35164753015624
S2,32,15.266628719109956
S2,33,16.311653374959583
S2,34,17.081117523298634
S2,35,18.54937931349259
S2,36,18.600513492310622
S2,37,20.49920739863809
S2,38,20.683781293499695
S2,39,21.874876388838114
S2,40,21.822378983073257
S2,41,21.035334742511562
S2,42,23.92069067324443
S2,43,24.67772863392582
S2,44,24.812601053825585
S2,45,25.192840581507706
S2,46,24.598672634337145
S2,47,23.526967166292533
S2,48,24.417493685682356
S2,49,25.906260587024267
S2,50,22.890405710647038
S2,51,23.64433154638276
S2,52,23.05829365029304
S2,53,22.30969826362273
S2,54,20.604207021706074
S2,55,21.190005264668105
S2,56,19.696600227035226
S2,57,20.450485699603863
S2,58,18.3873395108501
S2,59,16.959382537102744
S2,60,16.57855290113843
S2,61,14.932798705910745
S2,62,16.788424877856887
S2,63,17.137214163666485
S2,64,16.224351608460506
S2,65,16.626339000729565
S2,66,15.410391970079958
S2,67,17.6148438806017
S2,68,14.468945428055289
S2,69,16.343760069787425
S2,70,16.33876924123879
S2,71,15.467592438893549
S2,72,17.324810482368118
S2,73,18.61674807311042
S2,74,18.861105939714808
S2,75,18.815928091969155
S2,76,21.94645252038332
S2,77,21.809838425016046
S2,78,21.4447039385178
S2,79,21.873171448238015
